statement,category
Pre-emption suit limitation dispute: execution versus registration date of sale deed under Punjab Pre-emption and Limitation Acts.,Civil
"Election challenge: National Assembly member disqualified for bogus BA degree via impersonation, violating Article 62(1)(f) of Constitution.",Civil
"SC reverses High Court's interference in Executive's Hajj Policy, citing violation of trichotomy of powers under Article 199.",Constitutional
"SC overturns High Court's Hajj quota bidding order, affirming executive policy domain and trichotomy of powers.",Constitutional
Income Tax Ordinance 2001: Retrospective application of section 122 for amending assessments finalized under repealed Ordinance.,Civil
Federal Tax Ombudsman Ordinance: Scope of representation to President against review order versus initial recommendation under Section 32.,Civil
Dispute on retrospective seniority for provincial police officers encadred into PSP; conflicting rules interpretation on appointment date vs. vacancy date.,Civil
"Supreme Court assessed constitutionality of Gas Infrastructure Development Cess (GIDC) under Article 73, determining if it's a tax or fee.",Constitutional
"Election appeal challenging voided election due to non-disclosure of assets under Representation of the People Act, 1976; constitutional validity upheld.",Constitutional
"Dispute over medical college Self-Finance Scheme fees, bank guarantee, and alleged discrimination; Supreme Court applies estoppel, upholds differentiated policy.",Civil
"Rejection of election nomination papers (NA 261), appeal against High Court order, appellant restrained from oath pending decision.",Constitutional
"Appeal against Registrar's refusal to register Constitution Petition, clarifying Registrar's powers regarding maintainability under Article 184(3).",Constitutional
"Supreme Court dismisses review applications regarding Chief Justice's prerogative to constitute benches for review petitions, interpreting 'as far as practicable'.",Constitutional
"Karachi Supreme Court orders removal of billboards/hoardings from public property, defining public space, citing civil rights and public safety concerns.",Constitutional
"Supreme Court reviews progress on water cess levy, conservation measures, and WASA bill payment by industrial/bottling units.",Constitutional
"Suo Motu case on uncharged groundwater extraction, bottled water fitness, water cess, conservation, and regulatory measures.",Constitutional
Supreme Court restrains Bahria Town development on state land; clarifies MDA authority and land allotment orders.,Civil
"Supreme Court voids Bahria Town land exchange by MDA, violating COGLA 1912, citing illegal land adjustments and undervaluation.",Civil
"SC questions constitutionality of discretionary Rs500m development grants for lawmakers, citing prior judgment requiring parliamentary procedure.",Constitutional
Supreme Court disposes of petition regarding distribution of development funds to MNAs/MPAs by Prime Minister after government assurances.,Constitutional
"SC challenges PM's alleged unconstitutional development funds distribution and CJ's arbitrary bench reconstitution, restraining a judge.",Constitutional
Application for return of surety in NAB corruption case dismissed; deposited amount for bail was admitted liability for fine.,Criminal
"Advocate's persistent misconduct, Supreme Court Rules violations, and unethical conduct lead to license suspension and show-cause notice.",Constitutional
"Supreme Court rejected review petition application for changing counsel, emphasizing strict adherence to Order XXVI Rule 6 without compelling reasons.",Civil
Challenge to Lahore High Court's jurisdiction setting aside Special Court's trial against Pervez Musharraf despite SC cognizance.,Constitutional
"Dismissal of live streaming request for court proceedings in review jurisdiction, but recognized Article 19-A right, referred to Full Court.",Constitutional
"SC directs audio recording and future live-streaming of Article 184(3) public importance cases, affirming Article 19A right to information.",Constitutional
"Application for live broadcast of Justice Faez Isa's review petition dismissed; public's Article 19A right to court access affirmed, subject to regulation.",Constitutional
Dismisses review plea but affirms public right to information/live-streaming of court proceedings under Article 19-A of the Constitution.,Constitutional
Review petition counsel change denied; failed to meet Supreme Court Rules on unavoidable circumstances and AOR replacement.,Civil
SC scrutinizes NAB's failure to report major corruption scams and federal government's lack of oversight under National Accountability Ordinance.,Constitutional
"Supreme Court reviews Sindh High Court judgment on Vaccinators' recruitment irregularities, Sindh Health Department, for transparent appointments via Article 185(3).",Civil
"Supreme Court allows withdrawal of curative review petitions against Justice Qazi Faez Isa judgment, questioning second review maintainability under Pakistan law.",Constitutional
Appeal dismissal for 44-day delay due to late decree-sheet filing; Supreme Court rules vs. CPC limitation condoned.,Civil
"Supreme Court directs Rs. 21 billion release for Punjab/KPK elections, asserting Federal Cabinet's Article 84 authority despite National Assembly's rejection.",Constitutional
Supreme Court nominates JIT members for investigation concerning Prime Minister Nawaz Sharif in a constitutional petition.,Constitutional
"SC permits Lahore Canal Road widening, balancing environmental impact of tree cutting against public interest traffic flow.",Constitutional
"Court initiates criminal proceedings for perjury and fabrication of evidence in a civil petition, upholding judicial integrity.",Criminal
"SC orders commission to probe NAB's competence in OGRA corruption, Tauqir Sadiq escape, and handling mega scams.",Constitutional
"Siblings challenged paternity of daughter to reduce inheritance share via Section 42 Specific Relief Act, dismissed.",Civil
"Supreme Court addresses non-fixation of review petitions in suo motu violent protests case, acknowledging judicial manipulation and non-implementation.",Constitutional
"Supreme Court denied special leave for new Advocate to file review petitions after original counsel refused, citing Order XXVI, Rule 6.",Civil
"Advocate suspended for professional misconduct, inappropriate adjournments, judge allegations, and challenging disciplinary rule's constitutionality.",Constitutional
"Supreme Court recalls prior order, directs fresh demarcation and NAB probe into Bahria Town's forest land encroachment based on erroneous assumptions.",Civil
"Advocate faces show-cause notice for misconduct, making untrue statements and unbecoming conduct before Supreme Court.",Civil
"Supreme Court directs implementation of land rights order, addresses advocate's application alleging judicial bias and non-compliance with court directives.",Constitutional
Federal government's recusal application against CJ in constitutional petitions challenging audio leaks inquiry commission and judicial independence.,Constitutional
"Hussain Nawaz Sharif sought to stop JIT video recording of witness examination per Cr.P.C. 161/162, also seeking image leak inquiry.",Criminal
Property sale agreement specific performance; buyer's failure to pay balance consideration led to earnest money forfeiture.,Civil
