statement,priority
"Advocate's persistent misconduct, Supreme Court Rules violations, and unethical conduct lead to license suspension and show-cause notice.",High
"Supreme Court rejected review petition application for changing counsel, emphasizing strict adherence to Order XXVI Rule 6 without compelling reasons.",Medium
Challenge to Lahore High Court's jurisdiction setting aside Special Court's trial against Pervez Musharraf despite SC cognizance.,High
"Dismissal of live streaming request for court proceedings in review jurisdiction, but recognized Article 19-A right, referred to Full Court.",High
"SC directs audio recording and future live-streaming of Article 184(3) public importance cases, affirming Article 19A right to information.",High
"Application for live broadcast of Justice Faez Isa's review petition dismissed; public's Article 19A right to court access affirmed, subject to regulation.",High
Dismisses review plea but affirms public right to information/live-streaming of court proceedings under Article 19-A of the Constitution.,High
Review petition counsel change denied; failed to meet Supreme Court Rules on unavoidable circumstances and AOR replacement.,Medium
SC scrutinizes NAB's failure to report major corruption scams and federal government's lack of oversight under National Accountability Ordinance.,High
"Supreme Court reviews Sindh High Court judgment on Vaccinators' recruitment irregularities, Sindh Health Department, for transparent appointments via Article 185(3).",Medium
"Supreme Court allows withdrawal of curative review petitions against Justice Qazi Faez Isa judgment, questioning second review maintainability under Pakistan law.",High
Appeal dismissal for 44-day delay due to late decree-sheet filing; Supreme Court rules vs. CPC limitation condoned.,Medium
"Supreme Court directs Rs. 21 billion release for Punjab/KPK elections, asserting Federal Cabinet's Article 84 authority despite National Assembly's rejection.",High
Supreme Court nominates JIT members for investigation concerning Prime Minister Nawaz Sharif in a constitutional petition.,High
"SC permits Lahore Canal Road widening, balancing environmental impact of tree cutting against public interest traffic flow.",High
"Court initiates criminal proceedings for perjury and fabrication of evidence in a civil petition, upholding judicial integrity.",High
"SC orders commission to probe NAB's competence in OGRA corruption, Tauqir Sadiq escape, and handling mega scams.",High
"Siblings challenged paternity of daughter to reduce inheritance share via Section 42 Specific Relief Act, dismissed.",Low
"Supreme Court addresses non-fixation of review petitions in suo motu violent protests case, acknowledging judicial manipulation and non-implementation.",High
"Supreme Court denied special leave for new Advocate to file review petitions after original counsel refused, citing Order XXVI, Rule 6.",Low
"Advocate suspended for professional misconduct, inappropriate adjournments, judge allegations, and challenging disciplinary rule's constitutionality.",High
"Supreme Court recalls prior order, directs fresh demarcation and NAB probe into Bahria Town's forest land encroachment based on erroneous assumptions.",High
"Advocate faces show-cause notice for misconduct, making untrue statements and unbecoming conduct before Supreme Court.",High
"Supreme Court directs implementation of land rights order, addresses advocate's application alleging judicial bias and non-compliance with court directives.",High
Federal government's recusal application against CJ in constitutional petitions challenging audio leaks inquiry commission and judicial independence.,High
"Hussain Nawaz Sharif sought to stop JIT video recording of witness examination per Cr.P.C. 161/162, also seeking image leak inquiry.",High
Property sale agreement specific performance; buyer's failure to pay balance consideration led to earnest money forfeiture.,Low
"ECP seeks expedited legislation for long-delayed Local Government Elections in ICT, addressing discrimination and citizens' fundamental rights.",High
ECP seeks directions for Federal Government to expedite bill/rules for Local Government Elections in ICT.,High
"Supreme Court monitors ETPB's handling of Hindu minority properties, temple restoration, fund compliance, and criminal cases.",High
Supreme Court orders recovery of rehabilitation costs for desecrated Hindu Samaadhi at Teri from 123 identified miscreants as Land Revenue arrears.,High
"SC monitors FIA action on ETPB audit paras, property recovery, and religious site rehabilitation, ensuring minority rights protection.",High
"Court mandates compliance on Teri Mandar destruction recovery, upkeep, and infrastructure development, addressing MNA death threats.",High
"Supreme Court reviews Human Rights Commission's funding, legality, and intervenes to halt demolition of heritage Dharam Shala in Karachi.",High
Challenge to mandatory MDCAT for private medical college admissions under PMC Act 2020 rejected; MDCAT upheld as statutory requirement.,High
"Supreme Court directs national fund for Diamer Bhasha & Mohmand Dams, detailing donation collection, tax exemptions, and media campaign.",High
"No judgment text provided for analysis, unable to summarize case details.",Low
"Restoration of review petition regarding fraudulent land sale via misused power-of-attorney, upholding protection of female property rights.",High
"Supreme Court addresses non-compliance regarding local government elections, census approval, delimitation, and premature dissolution under constitutional mandate.",High
"SC directs immediate local government elections, addressing Punjab's premature dissolution, ordinance promulgation, and CCI's constitutional census approval delay.",High
No judgment text provided for analysis; cannot extract case details or categorize effectively.,Low
"Supreme Court interprets rules for reconstituting review benches, focusing on numerical strength and composition for majority/minority judgments.",High
"Supreme Court reviews bench reconstitution and composition for constitutional review petitions, addressing inclusion of minority judges.",High
"Pakistan Railways land management, encroachment, revenue generation, and policy implementation under Supreme Court's constitutional oversight.",High
Dispute over Bahria Town funds utilization by Sindh Government; Supreme Court establishes supervisory commission.,High
"Review petition challenging pre-emption suit dismissal for non-production of postman and advocate rule non-compliance, dismissed as frivolous.",Low
"OLMT Project: SC allows construction near Lahore heritage sites, imposing stringent vibration and visual impairment mitigation conditions.",High
"Bahria Town land deal judgment implementation, payment disputes, land allotment discrepancies, and guarantor liability.",High
